index,frequency,type
S(=O)(=O)C,585,functional_group
5CC5,279,atom
)N=C,616,functional_group
)cc(,528,atom
c3nc(C,282,atom
)cs,336,atom
3)n,700,atom
c2c1C,269,ring
c2nc3,240,atom
c4c(,335,atom
ncc3,25,atom
[nH]2,762,ionic
4)n,181,atom
Br),47,atom
N(CC(=O)O),214,functional_group
C1=O,1297,functional_group
COc1cc(CC,84,ring
)cc2c1,77,ring
C#C,775,atom
[C@]1(O)CC,1003,ionic
[C@H]2[C@@H]3CCC4=CC(=O)CC,540,functional_group
[C@H]3CC,820,ionic
CN1CCC[C@@H]1,171,ionic
Cc1c[nH],279,ionic
CCS(=O)(=O),259,functional_group
)cc12,491,ring
C[C@@H](N,201,ionic
coc(,27,atom
[C@@H]2[C@H]3CC,11,ionic
[C@H](O3),17,ionic
CCC(=O)O),336,functional_group
Nc1ncnc2c1ncn2,609,ring
O[C@H](C,1072,ionic
OP(=O)(O)OP(=O)(O)OP(=O)(O)O),109,functional_group
OC3,160,atom
(O,280,atom
[N+](=O)[O-]),29,functional_group
=CC(=[N+],19,functional_group
C=C3,160,functional_group
Cc1cc(C,301,ring
OCCO),202,atom
c2ccc(I)cc2,29,atom
F)c(F),51,atom
c1F,76,ring
CCOC(=O)CS,7,functional_group
CS,760,atom
=CCC,296,functional_group
c2cc(O)ccc2,70,atom
O1,1749,atom
NS(=O)(=O),1151,functional_group
c1cc(C,1034,ring
NC(=O)c3ccccc3,110,functional_group
2)ccc1,201,ring
CCCCCCC(C)(C),222,atom
C(=O)C,623,functional_group
(\C,1423,atom
[C@H](C)C[C@H](OC),369,ionic
[C@H]2O,1130,ionic
[C@@](O),886,ionic
(C(=O)C(=O)N,369,functional_group
3CCCC[C@H]3,375,ionic
[C@@H]3CC,510,ionic
)C3),381,atom
[C@H](C)[C@@H](O)CC1=O),369,functional_group
[C@H](C)C[C@@H]2,369,ionic
SCC,278,atom
C(=O)c1,440,functional_group
ccc(Cl)c(Cl,11,atom
)c1)C(=O)O,75,functional_group
CCC[C@H](NC(=O),373,functional_group
[C@H]2CCC,321,ionic
CN1C(=O),857,functional_group
[C@@H](NC(=O)[C@@H](NC(=O),245,functional_group
c1cnccn1,360,ring
)C1CCCCC1,248,ring
)C(C)(C)C,283,atom
)C(=O)C(=O)N,239,functional_group
CCOC(=O)C(C)(C),15,functional_group
ccc(Cl)cc1,557,ring
[C@H]([C@@H](C,32,ionic
OC)c2,31,atom
cs,592,atom
(=N,1216,functional_group
)[nH],940,ionic
[C@@H](O)[C@H](O)[C@@H]1O,33,ionic
Cc1cc(C)c2,33,ring
nc(,899,atom
c3cnc(N,7,atom
4CCN(C)CC,101,atom
c3,1102,atom
[nH]c2c1,226,ionic
OCCN(CCO),97,atom
c1nc(N,205,ring
)c2nc(N,110,atom
(CCO)CC,98,atom
nc(N,316,atom
3CCCCC3,327,atom
P(=O)(O)O)P(=O)(O)O,150,functional_group
CCC[C@H]1,137,ionic
CNC(=O)c1,99,functional_group
c(OC),82,atom
)c1OC,212,ring
CC[C@H](C),231,ionic
[C@@H](CC(=O)N,74,functional_group
1CCC[C@H]1,672,ionic
[C@H](OC),188,ionic
[C@@H](C)C(=O)N[C@@H](C,41,functional_group
nccs,17,atom
OC)N,18,atom
(C)C(=O),324,functional_group
[C@@H](NC(=O)[C@H](C,75,functional_group
(C)C)N,221,atom
(C)C)C(C)C,113,atom
(C(=O)OC),593,functional_group
NC(=O)c1n,160,functional_group
c(Cl)c(N,73,atom
)nc1N,88,ring
CO[C@H]1C,405,ionic
[C@@H](C),1899,ionic
[C@@](O)(O,295,ionic
2)C(=O),514,functional_group
C(=O)N2CCCC,306,functional_group
P,539,atom
)CC(=O),321,functional_group
[C@H](C),2501,ionic
)[C@@H](O),479,ionic
OC)C(=O),364,functional_group
[C@H](C)C[C@H](C),295,ionic
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O),499,functional_group
[C@H](C)O2)[C@H](C)[C@@H](O,499,ionic
[C@H]2O),1925,ionic
[C@](C)(O)C,432,ionic
[C@@H](C)C(=O),727,functional_group
[C@H](C)[C@@H](O)[C@]1(C)O,477,ionic
CC(C)(O,91,atom
c1ccc(CC,73,ring
NC(=O)c2ccc(Cl)cc2,57,functional_group
)cc1)C(=O)O,275,functional_group
c2c(ncn,478,atom
2C,1187,atom
